dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003418,5.732000,0.003704,0.148148,2.962963,59.259259,0.000050
0.050000,0.014411,5.732002,0.014696,0.219851,1.434065,-30.577964,0.000212
0.050000,0.032732,5.732008,0.033017,0.366424,2.931443,29.947566,0.000482
0.050000,0.058382,5.732025,0.058668,0.513003,2.931580,0.002738,0.000859
0.050000,0.091362,5.732061,0.091647,0.659591,2.931772,0.003836,0.001342
0.050000,0.131671,5.732127,0.131957,0.806192,2.932019,0.004936,0.001931
0.050000,0.179312,5.732236,0.179597,0.952808,2.932321,0.006039,0.002625
0.050000,0.234283,5.732402,0.234569,1.099442,2.932678,0.007146,0.003422
0.050000,0.296588,5.732643,0.296874,1.246097,2.933091,0.008256,0.004321
0.050000,0.366226,5.732979,0.366513,1.392774,2.933559,0.009372,0.005320
0.050000,0.443198,5.733431,0.443487,1.539479,2.934084,0.010492,0.006418
0.050000,0.527507,5.734022,0.527797,1.686212,2.934665,0.011617,0.007613
0.050000,0.619153,5.734779,0.619446,1.832977,2.935302,0.012748,0.008902
0.050000,0.718137,5.735729,0.718435,1.979777,2.935996,0.013885,0.010284
0.050000,0.824461,5.736901,0.824766,2.126614,2.936748,0.015027,0.011755
0.050000,0.938127,5.738326,0.938440,2.273492,2.937557,0.016176,0.013312
0.050000,1.059135,5.740036,1.059461,2.420413,2.938423,0.017329,0.014954
0.050000,1.187488,5.742066,1.187830,2.567381,2.939347,0.018488,0.016676
0.050000,1.323187,5.744452,1.323550,2.714397,2.940330,0.019653,0.018475
0.050000,1.466234,5.747229,1.466623,2.861466,2.941371,0.020822,0.020349
0.050000,1.616629,5.750437,1.617053,3.008589,2.942471,0.021995,0.022292
0.050000,1.774375,5.754113,1.774841,3.155771,2.943629,0.023172,0.024301
0.050000,1.939472,5.758297,1.939992,3.303013,2.944847,0.024351,0.026372
0.050000,2.111923,5.763030,2.112508,3.450319,2.946124,0.025533,0.028500
0.050000,2.291729,5.768353,2.292392,3.597692,2.947460,0.026717,0.030682
0.050000,2.478891,5.774307,2.479649,3.745135,2.948855,0.027902,0.032911
0.050000,2.673411,5.780933,2.674282,3.892650,2.950309,0.029086,0.035184
0.050000,2.871619,5.788135,2.872620,3.966776,1.482517,-29.355835,0.037454
0.050000,3.069844,5.795785,3.070994,3.967463,0.013738,-29.375585,0.039676
0.050000,3.268087,5.803871,3.269401,3.968151,0.013754,0.000327,0.041852
0.050000,3.466346,5.812385,3.467843,3.968839,0.013769,0.000299,0.043980
0.050000,3.664622,5.821319,3.666319,3.969528,0.013783,0.000273,0.046061
0.050000,3.862912,5.830662,3.864830,3.970218,0.013795,0.000248,0.048096
0.050000,4.061219,5.840405,4.063376,3.970908,0.013806,0.000223,0.050083
0.050000,4.259540,5.850539,4.261956,3.971599,0.013816,0.000201,0.052023
0.050000,4.457876,5.861056,4.460570,3.972291,0.013825,0.000179,0.053915
0.050000,4.656226,5.871944,4.659219,3.972982,0.013833,0.000159,0.055761
0.050000,4.854591,5.883197,4.857903,3.973674,0.013840,0.000139,0.057559
0.050000,5.052970,5.894803,5.056621,3.974367,0.013846,0.000121,0.059310
0.050000,5.251364,5.906754,5.255374,3.975059,0.013852,0.000104,0.061013
0.050000,5.449771,5.919040,5.454162,3.975752,0.013856,0.000088,0.062670
0.050000,5.648193,5.931652,5.652984,3.976445,0.013860,0.000074,0.064278
0.050000,5.846629,5.944581,5.851841,3.977138,0.013863,0.000060,0.065840
0.050000,6.045080,5.957818,6.050733,3.977831,0.013865,0.000047,0.067354
0.050000,6.243545,5.971353,6.249659,3.978525,0.013867,0.000035,0.068821
0.050000,6.442025,5.985176,6.448620,3.979218,0.013868,0.000025,0.070241
0.050000,6.640520,5.999279,6.647615,3.979911,0.013869,0.000015,0.071613
0.050000,6.839031,6.013652,6.846646,3.980605,0.013869,0.000006,0.072938
0.050000,7.037557,6.028287,7.045711,3.981298,0.013869,-0.000002,0.074215
0.050000,7.236099,6.043172,7.244810,3.981992,0.013868,-0.000010,0.075445
0.050000,7.434658,6.058300,7.443944,3.982685,0.013868,-0.000016,0.076628
0.050000,7.633234,6.073660,7.643113,3.983378,0.013866,-0.000022,0.077763
0.050000,7.831827,6.089244,7.842317,3.984072,0.013865,-0.000027,0.078851
0.050000,8.030438,6.105042,8.041555,3.984765,0.013864,-0.000031,0.079892
0.050000,8.229067,6.121045,8.240828,3.985458,0.013862,-0.000035,0.080885
0.050000,8.427716,6.137243,8.440136,3.986151,0.013860,-0.000038,0.081831
0.050000,8.626383,6.153627,8.639478,3.986844,0.013858,-0.000040,0.082730
0.050000,8.825071,6.170188,8.838855,3.987537,0.013856,-0.000042,0.083581
0.050000,9.023780,6.186916,9.038266,3.988229,0.013854,-0.000043,0.084385
0.050000,9.222510,6.203803,9.237712,3.988922,0.013852,-0.000043,0.085142
0.050000,9.421262,6.220837,9.437193,3.989614,0.013849,-0.000043,0.085851
0.050000,9.620036,6.238012,9.636708,3.990307,0.013847,-0.000043,0.086513
0.050000,9.818835,6.255316,9.836258,3.990999,0.013845,-0.000042,0.087128
0.050000,10.017657,6.272740,10.035843,3.991691,0.013843,-0.000041,0.087695
0.050000,10.216505,6.290276,10.235462,3.992383,0.013841,-0.000039,0.088216
0.050000,10.415378,6.307914,10.435116,3.993075,0.013839,-0.000037,0.088689
0.050000,10.614278,6.325644,10.634804,3.993767,0.013838,-0.000035,0.089114
0.050000,10.813205,6.343457,10.834527,3.994459,0.013836,-0.000032,0.089493
0.050000,11.012160,6.361343,11.034285,3.995151,0.013834,-0.000029,0.089824
0.050000,11.211144,6.379295,11.234077,3.995842,0.013833,-0.000026,0.090108
0.050000,11.410157,6.397301,11.433903,3.996534,0.013832,-0.000023,0.090345
0.050000,11.609202,6.415352,11.633765,3.997225,0.013831,-0.000020,0.090534
0.050000,11.808278,6.433440,11.833660,3.997917,0.013830,-0.000016,0.090677
0.050000,12.007386,6.451554,12.033591,3.998608,0.013830,-0.000012,0.090772
0.050000,12.206527,6.469686,12.233556,3.999300,0.013829,-0.000008,0.090820
0.050000,12.405702,6.487826,12.433555,3.999991,0.013829,-0.000004,0.090820
0.050000,12.604912,6.505964,12.633590,4.000683,0.013829,-0.000000,0.090774
0.050000,12.804158,6.524091,12.833658,4.001374,0.013829,0.000004,0.090680
0.050000,13.003441,6.542199,13.033762,4.002066,0.013830,0.000008,0.090539
0.050000,13.202760,6.560276,13.233899,4.002757,0.013830,0.000011,0.090350
0.050000,13.402118,6.578314,13.434072,4.003449,0.013831,0.000015,0.090115
0.050000,13.601515,6.596304,13.634279,4.004140,0.013832,0.000019,0.089832
0.050000,13.800953,6.614236,13.834521,4.004832,0.013833,0.000022,0.089502
0.050000,14.000430,6.632100,14.034797,4.005524,0.013834,0.000026,0.089124
0.050000,14.199950,6.649888,14.235107,4.006215,0.013836,0.000029,0.088700
0.050000,14.399512,6.667589,14.435453,4.006907,0.013837,0.000032,0.088228
0.050000,14.599117,6.685194,14.635833,4.007599,0.013839,0.000034,0.087709
0.050000,14.798766,6.702694,14.836247,4.008291,0.013841,0.000037,0.087143
0.050000,14.998460,6.720079,15.036697,4.008983,0.013843,0.000039,0.086529
0.050000,15.198199,6.737340,15.237180,4.009676,0.013845,0.000040,0.085868
0.050000,15.397985,6.754467,15.437699,4.010368,0.013847,0.000042,0.085160
0.050000,15.597817,6.771450,15.638252,4.011060,0.013849,0.000042,0.084404
0.050000,15.797698,6.788281,15.838839,4.011753,0.013851,0.000043,0.083602
0.050000,15.997626,6.804950,16.039462,4.012446,0.013853,0.000043,0.082751
0.050000,16.197604,6.821447,16.240119,4.013138,0.013855,0.000042,0.081854
0.050000,16.397631,6.837762,16.440810,4.013831,0.013857,0.000041,0.080909
0.050000,16.597709,6.853887,16.641536,4.014524,0.013859,0.000039,0.079917
0.050000,16.797837,6.869811,16.842297,4.015217,0.013861,0.000037,0.078878
0.050000,16.998017,6.885524,17.043093,4.015910,0.013863,0.000034,0.077791
0.050000,17.198248,6.901019,17.243923,4.016604,0.013864,0.000031,0.076657
0.050000,17.398532,6.916284,17.444788,4.017297,0.013866,0.000026,0.075475
0.050000,17.598869,6.931310,17.645687,4.017990,0.013867,0.000021,0.074246
0.050000,17.799259,6.946088,17.846622,4.018684,0.013868,0.000016,0.072970
0.050000,17.999703,6.960608,18.047590,4.019377,0.013868,0.000009,0.071647
0.050000,18.200200,6.974860,18.248594,4.020071,0.013868,0.000002,0.070276
0.050000,18.400752,6.988835,18.449632,4.020764,0.013868,-0.000006,0.068857
0.050000,18.601359,7.002523,18.650705,4.021457,0.013867,-0.000015,0.067392
0.050000,18.802020,7.015915,18.851813,4.022151,0.013866,-0.000025,0.065879
0.050000,19.002736,7.029000,19.052955,4.022844,0.013864,-0.000036,0.064318
0.050000,19.203507,7.041770,19.254132,4.023537,0.013862,-0.000047,0.062710
0.050000,19.404333,7.054215,19.455343,4.024230,0.013859,-0.000060,0.061055
0.050000,19.605215,7.066324,19.656589,4.024923,0.013855,-0.000074,0.059353
0.050000,19.806151,7.078089,19.857870,4.025615,0.013851,-0.000089,0.057603
0.050000,20.007143,7.089499,20.059185,4.026307,0.013845,-0.000104,0.055806
0.050000,20.208190,7.100545,20.260535,4.026999,0.013839,-0.000121,0.053962
0.050000,20.409291,7.111217,20.461920,4.027691,0.013832,-0.000139,0.052071
0.050000,20.610448,7.121506,20.663339,4.028382,0.013824,-0.000159,0.050132
0.050000,20.811658,7.131402,20.864793,4.029073,0.013815,-0.000179,0.048146
0.050000,21.012922,7.140896,21.066281,4.029763,0.013805,-0.000201,0.046113
0.050000,21.214240,7.149977,21.267803,4.030453,0.013794,-0.000223,0.044033
0.050000,21.415611,7.158635,21.469360,4.031142,0.013782,-0.000247,0.041905
0.050000,21.617035,7.166863,21.670952,4.031830,0.013768,-0.000273,0.039731
0.050000,21.818511,7.174648,21.872578,4.032518,0.013753,-0.000299,0.037510
0.050000,22.020037,7.181983,22.074238,4.033205,0.013737,-0.000327,0.035242
0.050000,22.217970,7.188737,22.272286,3.960963,-1.444838,-29.171498,0.032969
0.050000,22.408572,7.194811,22.462984,3.813964,-2.939984,-29.902915,0.030738
0.050000,22.591747,7.200244,22.646240,3.665112,-2.977034,-0.741005,0.028556
0.050000,22.767490,7.205077,22.822050,3.516191,-2.978430,-0.027930,0.026426
0.050000,22.935796,7.209352,22.990410,3.367202,-2.979768,-0.026746,0.024354
0.050000,23.096659,7.213109,23.151317,3.218150,-2.981046,-0.025563,0.022343
0.050000,23.250076,7.216388,23.304769,3.069037,-2.982265,-0.024381,0.020398
0.050000,23.396042,7.219229,23.450762,2.919865,-2.983425,-0.023202,0.018524
0.050000,23.534552,7.221671,23.589294,2.770639,-2.984526,-0.022025,0.016722
0.050000,23.665604,7.223750,23.720362,2.621361,-2.985569,-0.020852,0.014998
0.050000,23.789193,7.225502,23.843964,2.472033,-2.986553,-0.019683,0.013355
0.050000,23.905317,7.226963,23.960097,2.322659,-2.987479,-0.018519,0.011795
0.050000,24.013972,7.228164,24.068759,2.173242,-2.988347,-0.017360,0.010322
0.050000,24.115157,7.229139,24.169948,2.023784,-2.989157,-0.016206,0.008939
0.050000,24.208868,7.229916,24.263663,1.874288,-2.989910,-0.015058,0.007648
0.050000,24.295104,7.230524,24.349900,1.724758,-2.990606,-0.013915,0.006451
0.050000,24.373862,7.230989,24.428660,1.575196,-2.991245,-0.012778,0.005350
0.050000,24.445141,7.231335,24.499941,1.425604,-2.991827,-0.011647,0.004348
0.050000,24.508940,7.231583,24.563740,1.275987,-2.992353,-0.010521,0.003447
0.050000,24.565257,7.231755,24.620057,1.126346,-2.992823,-0.009401,0.002647
0.050000,24.614091,7.231867,24.668891,0.976684,-2.993238,-0.008285,0.001951
0.050000,24.655441,7.231936,24.710241,0.827004,-2.993596,-0.007174,0.001360
0.050000,24.689307,7.231973,24.744107,0.677309,-2.993900,-0.006067,0.000874
0.050000,24.715687,7.231992,24.770487,0.527601,-2.994148,-0.004964,0.000495
0.050000,24.734581,7.231998,24.789381,0.377884,-2.994341,-0.003863,0.000222
0.050000,24.745989,7.232000,24.800789,0.228160,-2.994479,-0.002765,0.000058
0.050000,24.749911,7.232000,24.804711,0.078432,-2.994563,-0.001669,0.000001
0.050000,24.750000,7.232000,24.804800,0.001784,-1.532971,29.231838,0.000000
0.050000,24.750000,7.232000,24.804800,0.000000,-0.035675,29.945910,0.000000
